document_id,origin_class,generation_channel,nll,scored_tokens,n_windows,expected_tokens,provenance
deepseek_pro_b045_P3_r1,A,deepseek_pro,3.152112,2753,5,2753,унаследовано из nll-v1
deepseek_pro_b045_P3_r2,A,deepseek_pro,3.077212,1992,3,1992,унаследовано из nll-v1
gpt_b001_P1_r1,A,gpt,2.976590,2070,4,2070,унаследовано из nll-v1
gpt_b001_P1_r2,A,gpt,2.751928,2260,4,2260,унаследовано из nll-v1
gpt_b001_P2_r1,A,gpt,3.013022,1607,3,1607,унаследовано из nll-v1
gpt_b001_P2_r2,A,gpt,2.682577,1284,2,1284,унаследовано из nll-v1
gpt_b001_P3_r1,A,gpt,3.261564,1914,3,1914,унаследовано из nll-v1
gpt_b001_P3_r2,A,gpt,2.906777,2263,4,2263,унаследовано из nll-v1
gpt_b002_P1_r1,A,gpt,3.043451,1843,3,1843,унаследовано из nll-v1
gpt_b002_P1_r2,A,gpt,2.950817,2013,3,2013,унаследовано из nll-v1
gpt_b002_P2_r1,A,gpt,3.080635,1165,2,1165,унаследовано из nll-v1
gpt_b002_P2_r2,A,gpt,2.948593,1793,3,1793,унаследовано из nll-v1
gpt_b002_P3_r1,A,gpt,3.218954,1860,3,1860,унаследовано из nll-v1
gpt_b002_P3_r2,A,gpt,2.944294,2612,5,2612,унаследовано из nll-v1
gpt_b003_P1_r1,A,gpt,3.192042,1930,3,1930,унаследовано из nll-v1
gpt_b003_P1_r2,A,gpt,3.081994,1967,3,1967,унаследовано из nll-v1
gpt_b003_P2_r1,A,gpt,3.244526,1361,2,1361,унаследовано из nll-v1
gpt_b003_P2_r2,A,gpt,3.143069,1297,2,1297,унаследовано из nll-v1
gpt_b003_P3_r1,A,gpt,3.347979,1921,3,1921,унаследовано из nll-v1
gpt_b003_P3_r2,A,gpt,3.251506,2310,4,2310,унаследовано из nll-v1
gpt_b004_P1_r1,A,gpt,3.141123,1944,3,1944,унаследовано из nll-v1
gpt_b004_P1_r2,A,gpt,2.835051,2110,4,2110,унаследовано из nll-v1
gpt_b004_P2_r1,A,gpt,3.212435,1362,2,1362,унаследовано из nll-v1
gpt_b004_P2_r2,A,gpt,2.986007,1476,2,1476,унаследовано из nll-v1
gpt_b004_P3_r1,A,gpt,3.241070,1934,3,1934,унаследовано из nll-v1
gpt_b004_P3_r2,A,gpt,3.313172,661,1,661,унаследовано из nll-v1
gpt_b005_P1_r1,A,gpt,3.341782,1870,3,1870,унаследовано из nll-v1
gpt_b005_P1_r2,A,gpt,3.124199,2271,4,2271,унаследовано из nll-v1
gpt_b005_P2_r1,A,gpt,3.318187,1455,2,1455,унаследовано из nll-v1
gpt_b005_P2_r2,A,gpt,3.281884,1619,3,1619,унаследовано из nll-v1
gpt_b005_P3_r1,A,gpt,3.571838,1972,3,1972,унаследовано из nll-v1
gpt_b005_P3_r2,A,gpt,3.562584,2704,5,2704,унаследовано из nll-v1
gpt_b006_P1_r1,A,gpt,3.176062,1881,3,1881,унаследовано из nll-v1
gpt_b006_P1_r2,A,gpt,2.866328,2824,5,2824,унаследовано из nll-v1
gpt_b006_P2_r1,A,gpt,3.145726,1376,2,1376,унаследовано из nll-v1
gpt_b006_P2_r2,A,gpt,3.036987,1324,2,1324,унаследовано из nll-v1
gpt_b006_P3_r1,A,gpt,3.170084,1984,3,1984,унаследовано из nll-v1
gpt_b006_P3_r2,A,gpt,3.183677,2152,4,2152,унаследовано из nll-v1
gpt_b007_P1_r1,A,gpt,3.166086,1797,3,1797,унаследовано из nll-v1
gpt_b007_P1_r2,A,gpt,2.980916,2371,4,2371,унаследовано из nll-v1
gpt_b007_P2_r1,A,gpt,3.166900,1254,2,1254,унаследовано из nll-v1
gpt_b007_P2_r2,A,gpt,2.977572,1358,2,1358,унаследовано из nll-v1
gpt_b007_P3_r1,A,gpt,3.152046,1862,3,1862,унаследовано из nll-v1
gpt_b007_P3_r2,A,gpt,3.078155,1905,3,1905,унаследовано из nll-v1
gpt_b008_P1_r1,A,gpt,2.931482,2372,4,2372,унаследовано из nll-v1
gpt_b008_P1_r2,A,gpt,2.891453,2447,4,2447,унаследовано из nll-v1
gpt_b008_P2_r1,A,gpt,3.045789,1281,2,1281,унаследовано из nll-v1
gpt_b008_P2_r2,A,gpt,3.211441,1069,2,1069,унаследовано из nll-v1
gpt_b008_P3_r1,A,gpt,2.792052,2660,5,2660,унаследовано из nll-v1
gpt_b008_P3_r2,A,gpt,3.101640,2160,4,2160,унаследовано из nll-v1
gpt_b009_P1_r1,A,gpt,3.126327,2670,5,2670,унаследовано из nll-v1
gpt_b009_P1_r2,A,gpt,3.193419,1712,3,1712,унаследовано из nll-v1
gpt_b009_P2_r1,A,gpt,3.117367,1591,3,1591,унаследовано из nll-v1
gpt_b009_P2_r2,A,gpt,3.235333,986,1,986,унаследовано из nll-v1
gpt_b009_P3_r1,A,gpt,3.061675,2942,5,2942,унаследовано из nll-v1
gpt_b009_P3_r2,A,gpt,3.157822,2426,4,2426,унаследовано из nll-v1
gpt_b010_P1_r1,A,gpt,2.951286,2358,4,2358,унаследовано из nll-v1
gpt_b010_P1_r2,A,gpt,2.962684,1735,3,1735,унаследовано из nll-v1
gpt_b010_P2_r1,A,gpt,2.801449,1061,2,1061,унаследовано из nll-v1
gpt_b010_P2_r2,A,gpt,3.032400,1507,2,1507,унаследовано из nll-v1
gpt_b010_P3_r1,A,gpt,3.071096,2398,4,2398,унаследовано из nll-v1
gpt_b010_P3_r2,A,gpt,3.041909,2181,4,2181,унаследовано из nll-v1
gpt_b011_P1_r1,A,gpt,3.057037,2470,4,2470,унаследовано из nll-v1
gpt_b011_P1_r2,A,gpt,3.090706,2126,4,2126,унаследовано из nll-v1
gpt_b011_P2_r1,A,gpt,3.068352,1243,2,1243,унаследовано из nll-v1
gpt_b011_P2_r2,A,gpt,2.946757,1522,2,1522,унаследовано из nll-v1
gpt_b011_P3_r1,A,gpt,3.238530,1734,3,1734,унаследовано из nll-v1
gpt_b011_P3_r2,A,gpt,3.055612,2300,4,2300,унаследовано из nll-v1
gpt_b012_P1_r1,A,gpt,3.122850,3513,6,3513,унаследовано из nll-v1
gpt_b012_P1_r2,A,gpt,3.247954,2987,5,2987,унаследовано из nll-v1
gpt_b012_P2_r1,A,gpt,3.169646,1880,3,1880,унаследовано из nll-v1
gpt_b012_P2_r2,A,gpt,2.999562,1592,3,1592,унаследовано из nll-v1
gpt_b012_P3_r1,A,gpt,3.299628,2844,5,2844,унаследовано из nll-v1
gpt_b012_P3_r2,A,gpt,3.233163,2251,4,2251,унаследовано из nll-v1
gpt_b013_P1_r1,A,gpt,3.119096,2308,4,2308,унаследовано из nll-v1
gpt_b013_P1_r2,A,gpt,3.200490,2657,5,2657,унаследовано из nll-v1
gpt_b013_P2_r1,A,gpt,3.156956,1684,3,1684,унаследовано из nll-v1
gpt_b013_P2_r2,A,gpt,3.179024,1359,2,1359,унаследовано из nll-v1
gpt_b013_P3_r1,A,gpt,3.314692,2933,5,2933,унаследовано из nll-v1
gpt_b013_P3_r2,A,gpt,3.392130,2400,4,2400,унаследовано из nll-v1
gpt_b014_P1_r1,A,gpt,3.106049,2325,4,2325,унаследовано из nll-v1
gpt_b014_P1_r2,A,gpt,2.996607,2292,4,2292,унаследовано из nll-v1
gpt_b014_P2_r1,A,gpt,3.104064,1563,3,1563,унаследовано из nll-v1
gpt_b014_P2_r2,A,gpt,3.092871,1202,2,1202,унаследовано из nll-v1
gpt_b014_P3_r1,A,gpt,3.170738,2284,4,2284,унаследовано из nll-v1
gpt_b014_P3_r2,A,gpt,3.145570,2063,4,2063,унаследовано из nll-v1
gpt_b015_P1_r1,A,gpt,2.838938,2512,4,2512,унаследовано из nll-v1
gpt_b015_P1_r2,A,gpt,2.893932,2661,5,2661,унаследовано из nll-v1
gpt_b015_P2_r1,A,gpt,2.912563,1518,2,1518,унаследовано из nll-v1
gpt_b015_P2_r2,A,gpt,3.030160,1753,3,1753,унаследовано из nll-v1
gpt_b015_P3_r1,A,gpt,2.904805,2945,5,2945,унаследовано из nll-v1
gpt_b015_P3_r2,A,gpt,3.100000,2410,4,2410,унаследовано из nll-v1
gpt_b016_P1_r1,A,gpt,3.175064,2378,4,2378,унаследовано из nll-v1
gpt_b016_P1_r2,A,gpt,3.285921,2264,4,2264,унаследовано из nll-v1
gpt_b016_P2_r1,A,gpt,3.166129,1300,2,1300,унаследовано из nll-v1
gpt_b016_P2_r2,A,gpt,3.184463,1612,3,1612,унаследовано из nll-v1
gpt_b016_P3_r1,A,gpt,3.215723,2134,4,2134,унаследовано из nll-v1
gpt_b016_P3_r2,A,gpt,3.375591,2177,4,2177,унаследовано из nll-v1
gpt_b017_P1_r1,A,gpt,3.131854,2367,4,2367,унаследовано из nll-v1
gpt_b017_P1_r2,A,gpt,3.446121,866,1,866,унаследовано из nll-v1
gpt_b017_P2_r1,A,gpt,3.107236,1729,3,1729,унаследовано из nll-v1
gpt_b017_P2_r2,A,gpt,3.220225,1648,3,1648,унаследовано из nll-v1
gpt_b017_P3_r1,A,gpt,3.417959,2600,5,2600,унаследовано из nll-v1
gpt_b017_P3_r2,A,gpt,3.360181,2597,5,2597,унаследовано из nll-v1
gpt_b018_P1_r1,A,gpt,2.995510,2478,4,2478,унаследовано из nll-v1
gpt_b018_P1_r2,A,gpt,3.221866,2140,4,2140,унаследовано из nll-v1
gpt_b018_P2_r1,A,gpt,2.991281,1710,3,1710,унаследовано из nll-v1
gpt_b018_P2_r2,A,gpt,3.215597,1619,3,1619,унаследовано из nll-v1
gpt_b018_P3_r1,A,gpt,3.186224,1956,3,1956,унаследовано из nll-v1
gpt_b018_P3_r2,A,gpt,3.245946,2119,4,2119,унаследовано из nll-v1
gpt_b019_P1_r1,A,gpt,3.170275,2541,4,2541,унаследовано из nll-v1
gpt_b019_P1_r2,A,gpt,3.228171,2671,5,2671,унаследовано из nll-v1
gpt_b019_P2_r1,A,gpt,3.231830,1632,3,1632,унаследовано из nll-v1
gpt_b019_P2_r2,A,gpt,3.097390,1383,2,1383,унаследовано из nll-v1
gpt_b019_P3_r1,A,gpt,3.295044,2713,5,2713,унаследовано из nll-v1
gpt_b019_P3_r2,A,gpt,3.283672,2457,4,2457,унаследовано из nll-v1
gpt_b020_P1_r1,A,gpt,2.991138,2748,5,2748,унаследовано из nll-v1
gpt_b020_P1_r2,A,gpt,3.044132,2432,4,2432,унаследовано из nll-v1
gpt_b020_P2_r1,A,gpt,3.153205,1525,2,1525,унаследовано из nll-v1
gpt_b020_P2_r2,A,gpt,3.215062,1445,2,1445,унаследовано из nll-v1
gpt_b020_P3_r1,A,gpt,3.162651,2636,5,2636,унаследовано из nll-v1
gpt_b020_P3_r2,A,gpt,3.273925,2430,4,2430,унаследовано из nll-v1
gpt_b021_P1_r1,A,gpt,3.147311,2204,4,2204,унаследовано из nll-v1
gpt_b021_P1_r2,A,gpt,3.266310,2558,4,2558,унаследовано из nll-v1
gpt_b021_P2_r1,A,gpt,3.182079,1270,2,1270,унаследовано из nll-v1
gpt_b021_P2_r2,A,gpt,3.061538,1892,3,1892,унаследовано из nll-v1
gpt_b021_P3_r1,A,gpt,3.449100,1651,3,1651,унаследовано из nll-v1
gpt_b021_P3_r2,A,gpt,3.423261,1952,3,1952,унаследовано из nll-v1
gpt_b022_P1_r1,A,gpt,2.979360,2552,4,2552,унаследовано из nll-v1
gpt_b022_P1_r2,A,gpt,2.966451,2181,4,2181,унаследовано из nll-v1
gpt_b022_P2_r1,A,gpt,2.999092,1909,3,1909,унаследовано из nll-v1
gpt_b022_P2_r2,A,gpt,3.010872,1549,3,1549,унаследовано из nll-v1
gpt_b022_P3_r1,A,gpt,3.095687,2268,4,2268,унаследовано из nll-v1
gpt_b022_P3_r2,A,gpt,3.126641,2119,4,2119,унаследовано из nll-v1
gpt_b023_P1_r1,A,gpt,3.115224,2336,4,2336,унаследовано из nll-v1
gpt_b023_P1_r2,A,gpt,3.096706,2347,4,2347,унаследовано из nll-v1
gpt_b023_P2_r1,A,gpt,3.188765,1506,2,1506,унаследовано из nll-v1
gpt_b023_P2_r2,A,gpt,3.234828,1394,2,1394,унаследовано из nll-v1
gpt_b023_P3_r1,A,gpt,3.302966,2179,4,2179,унаследовано из nll-v1
gpt_b023_P3_r2,A,gpt,3.375052,2138,4,2138,унаследовано из nll-v1
gpt_b024_P1_r1,A,gpt,3.193040,2544,4,2544,унаследовано из nll-v1
gpt_b024_P1_r2,A,gpt,3.075968,1671,3,1671,унаследовано из nll-v1
gpt_b024_P2_r1,A,gpt,3.266802,1490,2,1490,унаследовано из nll-v1
gpt_b024_P2_r2,A,gpt,3.333648,1586,3,1586,унаследовано из nll-v1
gpt_b024_P3_r1,A,gpt,3.446469,2292,4,2292,унаследовано из nll-v1
gpt_b024_P3_r2,A,gpt,3.247592,2252,4,2252,унаследовано из nll-v1
gpt_b025_P1_r1,A,gpt,3.162196,2378,4,2378,унаследовано из nll-v1
gpt_b025_P1_r2,A,gpt,3.074928,2469,4,2469,унаследовано из nll-v1
gpt_b025_P2_r1,A,gpt,3.093989,1578,3,1578,унаследовано из nll-v1
gpt_b025_P2_r2,A,gpt,3.046378,1438,2,1438,унаследовано из nll-v1
gpt_b025_P3_r1,A,gpt,3.185510,2510,4,2510,унаследовано из nll-v1
gpt_b025_P3_r2,A,gpt,3.318024,1574,3,1574,унаследовано из nll-v1
gpt_b026_P1_r1,A,gpt,2.959196,2228,4,2228,унаследовано из nll-v1
gpt_b026_P1_r2,A,gpt,3.097534,1876,3,1876,унаследовано из nll-v1
gpt_b026_P2_r1,A,gpt,3.092457,1365,2,1365,унаследовано из nll-v1
gpt_b026_P2_r2,A,gpt,3.169311,1380,2,1380,унаследовано из nll-v1
gpt_b026_P3_r1,A,gpt,3.251134,2390,4,2390,унаследовано из nll-v1
gpt_b026_P3_r2,A,gpt,3.196655,1807,3,1807,унаследовано из nll-v1
gpt_b027_P1_r1,A,gpt,3.046712,2388,4,2388,унаследовано из nll-v1
gpt_b027_P1_r2,A,gpt,3.085553,2497,4,2497,унаследовано из nll-v1
gpt_b027_P2_r1,A,gpt,2.953423,1333,2,1333,унаследовано из nll-v1
gpt_b027_P2_r2,A,gpt,3.114478,1478,2,1478,унаследовано из nll-v1
gpt_b027_P3_r1,A,gpt,3.165568,2572,5,2572,унаследовано из nll-v1
gpt_b027_P3_r2,A,gpt,3.168994,2751,5,2751,унаследовано из nll-v1
gpt_b028_P1_r1,A,gpt,3.233808,2448,4,2448,унаследовано из nll-v1
gpt_b028_P1_r2,A,gpt,3.198934,2418,4,2418,унаследовано из nll-v1
gpt_b028_P2_r1,A,gpt,3.233938,1339,2,1339,унаследовано из nll-v1
gpt_b028_P2_r2,A,gpt,3.117358,1122,2,1122,унаследовано из nll-v1
gpt_b028_P3_r1,A,gpt,3.397123,2141,4,2141,унаследовано из nll-v1
gpt_b028_P3_r2,A,gpt,3.348394,2031,3,2031,унаследовано из nll-v1
gpt_b029_P1_r1,A,gpt,3.196683,2759,5,2759,унаследовано из nll-v1
gpt_b029_P1_r2,A,gpt,3.168826,2015,3,2015,унаследовано из nll-v1
gpt_b029_P2_r1,A,gpt,3.224064,1492,2,1492,унаследовано из nll-v1
gpt_b029_P2_r2,A,gpt,3.228048,1687,3,1687,унаследовано из nll-v1
gpt_b029_P3_r1,A,gpt,3.478437,1989,3,1989,унаследовано из nll-v1
gpt_b029_P3_r2,A,gpt,3.244953,2385,4,2385,унаследовано из nll-v1
gpt_b030_P1_r1,A,gpt,3.058899,2765,5,2765,унаследовано из nll-v1
gpt_b030_P1_r2,A,gpt,3.111107,2188,4,2188,унаследовано из nll-v1
gpt_b030_P2_r1,A,gpt,3.174370,1626,3,1626,унаследовано из nll-v1
gpt_b030_P2_r2,A,gpt,3.082613,1686,3,1686,унаследовано из nll-v1
gpt_b030_P3_r1,A,gpt,3.206539,1660,3,1660,унаследовано из nll-v1
gpt_b030_P3_r2,A,gpt,3.281578,1539,3,1539,унаследовано из nll-v1
gpt_b031_P1_r1,A,gpt,2.903248,2211,4,2211,унаследовано из nll-v1
gpt_b031_P1_r2,A,gpt,2.879350,1878,3,1878,унаследовано из nll-v1
gpt_b031_P2_r1,A,gpt,2.946316,1420,2,1420,унаследовано из nll-v1
gpt_b031_P2_r2,A,gpt,2.873334,1572,3,1572,унаследовано из nll-v1
gpt_b031_P3_r1,A,gpt,2.927431,2242,4,2242,унаследовано из nll-v1
gpt_b031_P3_r2,A,gpt,3.034255,2393,4,2393,унаследовано из nll-v1
gpt_b032_P1_r1,A,gpt,3.020045,2367,4,2367,унаследовано из nll-v1
gpt_b032_P1_r2,A,gpt,3.129575,1833,3,1833,унаследовано из nll-v1
gpt_b032_P2_r1,A,gpt,3.042322,1159,2,1159,унаследовано из nll-v1
gpt_b032_P2_r2,A,gpt,2.980149,1218,2,1218,унаследовано из nll-v1
gpt_b032_P3_r1,A,gpt,3.081209,2093,4,2093,унаследовано из nll-v1
gpt_b032_P3_r2,A,gpt,3.139510,2442,4,2442,унаследовано из nll-v1
gpt_b033_P1_r1,A,gpt,3.133040,2057,4,2057,унаследовано из nll-v1
gpt_b033_P1_r2,A,gpt,3.040470,2279,4,2279,унаследовано из nll-v1
gpt_b033_P2_r1,A,gpt,3.091454,1740,3,1740,унаследовано из nll-v1
gpt_b033_P2_r2,A,gpt,3.106760,1595,3,1595,унаследовано из nll-v1
gpt_b033_P3_r1,A,gpt,3.271781,2635,5,2635,унаследовано из nll-v1
gpt_b033_P3_r2,A,gpt,3.263623,1830,3,1830,унаследовано из nll-v1
gpt_b034_P1_r1,A,gpt,2.958167,2075,4,2075,унаследовано из nll-v1
gpt_b034_P1_r2,A,gpt,2.906431,1767,3,1767,унаследовано из nll-v1
gpt_b034_P2_r1,A,gpt,2.982707,1505,2,1505,унаследовано из nll-v1
gpt_b034_P2_r2,A,gpt,3.053960,1172,2,1172,унаследовано из nll-v1
gpt_b034_P3_r1,A,gpt,3.059114,2088,4,2088,унаследовано из nll-v1
gpt_b034_P3_r2,A,gpt,3.017526,1912,3,1912,унаследовано из nll-v1
gpt_b035_P1_r1,A,gpt,2.803285,2563,5,2563,унаследовано из nll-v1
gpt_b035_P1_r2,A,gpt,3.051386,2821,5,2821,унаследовано из nll-v1
gpt_b035_P2_r1,A,gpt,3.003066,1427,2,1427,унаследовано из nll-v1
gpt_b035_P2_r2,A,gpt,3.006841,1254,2,1254,унаследовано из nll-v1
gpt_b035_P3_r1,A,gpt,2.963381,2365,4,2365,унаследовано из nll-v1
gpt_b035_P3_r2,A,gpt,3.025198,1870,3,1870,унаследовано из nll-v1
gpt_b036_P1_r1,A,gpt,2.969298,2086,4,2086,унаследовано из nll-v1
gpt_b036_P1_r2,A,gpt,2.920704,2147,4,2147,унаследовано из nll-v1
gpt_b036_P2_r1,A,gpt,2.976030,1338,2,1338,унаследовано из nll-v1
gpt_b036_P2_r2,A,gpt,3.041116,1372,2,1372,унаследовано из nll-v1
gpt_b036_P3_r1,A,gpt,3.089898,1906,3,1906,унаследовано из nll-v1
gpt_b036_P3_r2,A,gpt,3.132105,1894,3,1894,унаследовано из nll-v1
gpt_b037_P1_r1,A,gpt,3.143448,1333,2,1333,унаследовано из nll-v1
gpt_b037_P1_r2,A,gpt,2.931653,1911,3,1911,унаследовано из nll-v1
gpt_b037_P2_r1,A,gpt,3.076715,1166,2,1166,унаследовано из nll-v1
gpt_b037_P2_r2,A,gpt,3.079660,1015,1,1015,унаследовано из nll-v1
gpt_b037_P3_r1,A,gpt,3.094808,2590,5,2590,унаследовано из nll-v1
gpt_b037_P3_r2,A,gpt,3.202669,1471,2,1471,унаследовано из nll-v1
gpt_b038_P1_r1,A,gpt,3.036440,2095,4,2095,унаследовано из nll-v1
gpt_b038_P1_r2,A,gpt,3.124115,2197,4,2197,унаследовано из nll-v1
gpt_b038_P2_r1,A,gpt,3.098954,1409,2,1409,унаследовано из nll-v1
gpt_b038_P2_r2,A,gpt,3.036033,1359,2,1359,унаследовано из nll-v1
gpt_b038_P3_r1,A,gpt,3.268308,1723,3,1723,унаследовано из nll-v1
gpt_b038_P3_r2,A,gpt,3.308006,1664,3,1664,унаследовано из nll-v1
gpt_b039_P1_r1,A,gpt,2.870084,2331,4,2331,унаследовано из nll-v1
gpt_b039_P1_r2,A,gpt,3.057266,2103,4,2103,унаследовано из nll-v1
gpt_b039_P2_r1,A,gpt,3.041855,1190,2,1190,унаследовано из nll-v1
gpt_b039_P2_r2,A,gpt,2.991080,1319,2,1319,унаследовано из nll-v1
gpt_b039_P3_r1,A,gpt,3.166139,1759,3,1759,унаследовано из nll-v1
gpt_b039_P3_r2,A,gpt,3.030934,2280,4,2280,унаследовано из nll-v1
gpt_b040_P1_r1,A,gpt,3.243164,1941,3,1941,унаследовано из nll-v1
gpt_b040_P1_r2,A,gpt,3.149033,2130,4,2130,унаследовано из nll-v1
gpt_b040_P2_r1,A,gpt,3.096807,1661,3,1661,унаследовано из nll-v1
gpt_b040_P2_r2,A,gpt,3.255321,1281,2,1281,унаследовано из nll-v1
gpt_b040_P3_r1,A,gpt,3.297087,1393,2,1393,унаследовано из nll-v1
gpt_b040_P3_r2,A,gpt,3.432747,2075,4,2075,унаследовано из nll-v1
gpt_b041_P1_r1,A,gpt,3.085422,1894,3,1894,унаследовано из nll-v1
gpt_b041_P1_r2,A,gpt,2.950774,1819,3,1819,унаследовано из nll-v1
gpt_b041_P2_r1,A,gpt,3.013689,1147,2,1147,унаследовано из nll-v1
gpt_b041_P2_r2,A,gpt,2.973977,1129,2,1129,унаследовано из nll-v1
gpt_b041_P3_r1,A,gpt,3.116534,1852,3,1852,унаследовано из nll-v1
gpt_b041_P3_r2,A,gpt,3.241154,1899,3,1899,унаследовано из nll-v1
gpt_b042_P1_r1,A,gpt,3.024574,2049,4,2049,унаследовано из nll-v1
gpt_b042_P1_r2,A,gpt,2.895182,2311,4,2311,унаследовано из nll-v1
gpt_b042_P2_r1,A,gpt,2.878503,990,1,990,унаследовано из nll-v1
gpt_b042_P2_r2,A,gpt,2.899198,1025,2,1025,унаследовано из nll-v1
gpt_b042_P3_r1,A,gpt,3.057127,2035,3,2035,унаследовано из nll-v1
gpt_b042_P3_r2,A,gpt,2.918255,2239,4,2239,унаследовано из nll-v1
gpt_b043_P1_r1,A,gpt,3.072866,1337,2,1337,унаследовано из nll-v1
gpt_b043_P1_r2,A,gpt,2.974596,1177,2,1177,унаследовано из nll-v1
gpt_b043_P2_r1,A,gpt,2.958093,1499,2,1499,унаследовано из nll-v1
gpt_b043_P2_r2,A,gpt,3.073953,1688,3,1688,унаследовано из nll-v1
gpt_b043_P3_r1,A,gpt,3.140227,2550,4,2550,унаследовано из nll-v1
gpt_b043_P3_r2,A,gpt,3.106393,1757,3,1757,унаследовано из nll-v1
gpt_b044_P1_r1,A,gpt,3.041084,2061,4,2061,унаследовано из nll-v1
gpt_b044_P1_r2,A,gpt,2.931448,1689,3,1689,унаследовано из nll-v1
gpt_b044_P2_r1,A,gpt,2.921951,1422,2,1422,унаследовано из nll-v1
gpt_b044_P2_r2,A,gpt,2.996244,1178,2,1178,унаследовано из nll-v1
gpt_b044_P3_r1,A,gpt,3.126871,1778,3,1778,унаследовано из nll-v1
gpt_b044_P3_r2,A,gpt,2.937397,1461,2,1461,унаследовано из nll-v1
gpt_b045_P1_r1,A,gpt,3.047384,2355,4,2355,унаследовано из nll-v1
gpt_b045_P1_r2,A,gpt,3.101481,1413,2,1413,унаследовано из nll-v1
gpt_b045_P2_r1,A,gpt,3.073565,1233,2,1233,унаследовано из nll-v1
gpt_b045_P2_r2,A,gpt,3.085387,1448,2,1448,унаследовано из nll-v1
gpt_b045_P3_r1,A,gpt,3.293206,1921,3,1921,унаследовано из nll-v1
gpt_b045_P3_r2,A,gpt,3.319372,2063,4,2063,унаследовано из nll-v1
human_hard_rusltc_0001,H,,3.121580,1067,2,1067,унаследовано из nll-v1
human_hard_rusltc_0002,H,,2.809068,1350,2,1350,унаследовано из nll-v1
human_hard_rusltc_0003,H,,3.290485,2403,4,2403,унаследовано из nll-v1
human_hard_rusltc_0004,H,,2.515797,1815,3,1815,унаследовано из nll-v1
human_hard_rusltc_0005,H,,2.445861,4215,8,4215,унаследовано из nll-v1
human_hard_rusltc_0006,H,,3.068212,2063,4,2063,унаследовано из nll-v1
human_hard_rusltc_0007,H,,2.418716,6694,13,6694,унаследовано из nll-v1
human_hard_rusltc_0008,H,,2.536272,5209,10,5209,унаследовано из nll-v1
human_hard_rusltc_0009,H,,3.091295,1046,2,1046,унаследовано из nll-v1
human_hard_rusltc_0010,H,,2.665045,1066,2,1066,унаследовано из nll-v1
human_hard_rusltc_0011,H,,2.804154,1724,3,1724,унаследовано из nll-v1
human_hard_rusltc_0012,H,,2.895471,1484,2,1484,унаследовано из nll-v1
human_hard_rusltc_0013,H,,2.980447,1812,3,1812,унаследовано из nll-v1
human_hard_rusltc_0014,H,,2.800352,1062,2,1062,унаследовано из nll-v1
human_hard_rusltc_0015,H,,2.903875,1299,2,1299,унаследовано из nll-v1
human_hard_rusltc_0016,H,,2.620388,4663,9,4663,унаследовано из nll-v1
human_hard_rusltc_0017,H,,3.105289,3131,6,3131,унаследовано из nll-v1
human_hard_rusltc_0018,H,,2.615295,1141,2,1141,унаследовано из nll-v1
human_hard_rusltc_0019,H,,2.876642,1542,3,1542,унаследовано из nll-v1
human_hard_rusltc_0020,H,,2.834320,1239,2,1239,унаследовано из nll-v1
human_hard_rusltc_0021,H,,3.429800,1018,1,1018,унаследовано из nll-v1
human_hard_rusltc_0022,H,,2.875696,1148,2,1148,унаследовано из nll-v1
human_hard_rusltc_0023,H,,2.937009,1193,2,1193,унаследовано из nll-v1
human_hard_rusltc_0024,H,,2.762650,1217,2,1217,унаследовано из nll-v1
human_hard_rusltc_0025,H,,3.000935,4845,9,4845,унаследовано из nll-v1
human_hard_rusltc_0026,H,,3.119652,1507,2,1507,унаследовано из nll-v1
human_hard_rusltc_0027,H,,3.036732,1777,3,1777,унаследовано из nll-v1
human_hard_rusltc_0028,H,,3.426072,1307,2,1307,унаследовано из nll-v1
human_hard_rusltc_0029,H,,2.494048,1669,3,1669,унаследовано из nll-v1
human_hard_rusltc_0030,H,,2.685680,1572,3,1572,унаследовано из nll-v1
human_hard_rusltc_0031,H,,3.163295,1272,2,1272,унаследовано из nll-v1
human_hard_rusltc_0032,H,,3.087219,1153,2,1153,унаследовано из nll-v1
human_hard_rusltc_0033,H,,3.341937,1157,2,1157,унаследовано из nll-v1
human_hard_rusltc_0034,H,,3.466088,1075,2,1075,унаследовано из nll-v1
human_hard_rusltc_0035,H,,3.284072,1061,2,1061,унаследовано из nll-v1
human_hard_rusltc_0036,H,,2.614345,1199,2,1199,унаследовано из nll-v1
human_hard_rusltc_0037,H,,3.318240,1071,2,1071,унаследовано из nll-v1
human_hard_rusltc_0038,H,,2.820106,1015,1,1015,унаследовано из nll-v1
human_hard_rusltc_0039,H,,3.184191,1123,2,1123,унаследовано из nll-v1
human_hard_rusltc_0040,H,,3.517905,1166,2,1166,унаследовано из nll-v1
human_hard_rusltc_0041,H,,3.220102,1077,2,1077,унаследовано из nll-v1
human_hard_rusltc_0042,H,,2.334212,1185,2,1185,унаследовано из nll-v1
human_hard_rusltc_0043,H,,3.067891,1122,2,1122,унаследовано из nll-v1
human_hard_rusltc_0044,H,,2.987290,1149,2,1149,унаследовано из nll-v1
human_hard_rusltc_0045,H,,2.780677,1322,2,1322,унаследовано из nll-v1
human_hard_rusltc_0046,H,,2.851345,1067,2,1067,унаследовано из nll-v1
human_hard_rusltc_0047,H,,3.068652,1255,2,1255,унаследовано из nll-v1
human_hard_rusltc_0048,H,,3.402358,1098,2,1098,унаследовано из nll-v1
