case_id,document_id,error_class,model_or_procedure,predicted,actual,triggered_features,alternative_explanation,genre_norm,prompt_effect,length_effect,source_artifact,real_editorial_problem,conclusion,reviewed_by,reviewed_at
DIS-010,deepseek_pro_b002_P2_r1,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.99; proc2 0.59; proc3 0.75; proc4 0.02,A,размах перцентилей 0.97,,"seo, уровень не задан",P2,"1573 слов, терциль: средние",deepseek_pro,,pending,,
DIS-011,deepseek_pro_b002_P1_r2,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.99; proc2 0.56; proc3 0.73; proc4 0.02,A,размах перцентилей 0.97,,"seo, уровень не задан",P1,"1930 слов, терциль: средние",deepseek_pro,,pending,,
DIS-012,nemotron_b013_P1_r1,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.98; proc2 0.84; proc3 0.01; proc4 0.80,A,размах перцентилей 0.97,,"seo, уровень не задан",P1,"2256 слов, терциль: длинные",nemotron,,pending,,
DIS-013,human_seo_seoprofy_ua_0003,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.01; proc2 0.41; proc3 0.80; proc4 0.98,H,размах перцентилей 0.97,,"seo, уровень 2",н/п,"755 слов, терциль: короткие",seoprofy_ua,,pending,,
DIS-014,human_science_urfu_0043,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.46; proc2 0.01; proc3 0.97; proc4 0.97,H,размах перцентилей 0.97,,"science, уровень 3",н/п,"2557 слов, терциль: длинные",urfu,,pending,,
DIS-015,human_science_urfu_0042,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.13; proc2 0.00; proc3 0.93; proc4 0.97,H,размах перцентилей 0.97,,"science, уровень 3",н/п,"2209 слов, терциль: длинные",urfu,,pending,,
DIS-016,human_science_urfu_0040,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.38; proc2 0.00; proc3 0.95; proc4 0.97,H,размах перцентилей 0.97,,"science, уровень 3",н/п,"4804 слов, терциль: длинные",urfu,,pending,,
DIS-017,human_science_urfu_0039,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.46; proc2 0.00; proc3 0.77; proc4 0.97,H,размах перцентилей 0.97,,"science, уровень 3",н/п,"4887 слов, терциль: длинные",urfu,,pending,,
DIS-018,human_prose_taiga_magazines_0050,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.15; proc2 0.00; proc3 0.97; proc4 0.87,H,размах перцентилей 0.97,,"prose, уровень 0",н/п,"1496 слов, терциль: средние",taiga_magazines,,pending,,
DIS-019,human_news_buriy_2014_0010,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.01; proc2 0.02; proc3 0.97; proc4 0.65,H,размах перцентилей 0.97,,"news, уровень 1",н/п,"734 слов, терциль: короткие",buriy_2014,,pending,,
DIS-020,real_claude_b024_P3_r2,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.91; proc2 1.00; proc3 0.03; proc4 0.51,A,размах перцентилей 0.96,,"analytics, уровень не задан",P3,"1271 слов, терциль: средние",real_claude,,pending,,
DIS-021,human_science_urfu_0041,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.13; proc2 0.01; proc3 0.88; proc4 0.97,H,размах перцентилей 0.96,,"science, уровень 3",н/п,"4364 слов, терциль: длинные",urfu,,pending,,
DIS-022,human_news_buriy_2014_0015,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.00; proc2 0.08; proc3 0.97; proc4 0.23,H,размах перцентилей 0.96,,"news, уровень 1",н/п,"763 слов, терциль: короткие",buriy_2014,,pending,,
DIS-023,human_news_lenta_0007,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.01; proc2 0.00; proc3 0.96; proc4 0.91,H,размах перцентилей 0.96,,"news, уровень 1",н/п,"1058 слов, терциль: средние",lenta,,pending,,
DIS-024,human_seo_seopulses_0007,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.02; proc2 0.10; proc3 0.77; proc4 0.98,H,размах перцентилей 0.96,,"seo, уровень 2",н/п,"756 слов, терциль: короткие",seopulses,,pending,,
DIS-025,deepseek_pro_b005_P2_r1,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.98; proc2 0.70; proc3 0.59; proc4 0.02,A,размах перцентилей 0.96,,"seo, уровень не задан",P2,"1545 слов, терциль: средние",deepseek_pro,,pending,,
DIS-026,real_claude_b027_P3_r2,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.96; proc2 0.97; proc3 0.06; proc4 0.01,A,размах перцентилей 0.96,,"analytics, уровень не задан",P3,"1478 слов, терциль: средние",real_claude,,pending,,
DIS-027,real_claude_b045_P2_r1,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.73; proc2 0.97; proc3 0.17; proc4 0.01,A,размах перцентилей 0.96,,"commercial, уровень не задан",P2,"1784 слов, терциль: средние",real_claude,,pending,,
DIS-028,human_seo_seopulses_0003,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.02; proc2 0.20; proc3 0.64; proc4 0.98,H,размах перцентилей 0.96,,"seo, уровень 2",н/п,"851 слов, терциль: короткие",seopulses,,pending,,
DIS-029,nemotron_b005_P3_r2,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.96; proc2 0.66; proc3 0.01; proc4 0.37,A,размах перцентилей 0.96,,"seo, уровень не задан",P3,"2431 слов, терциль: длинные",nemotron,,pending,,
DIS-030,nemotron_b027_P1_r2,disagreement,"четыре процедуры, перцентили корпуса",proc1 0.99; proc2 0.83; proc3 0.04; proc4 0.42,A,размах перцентилей 0.96,,"analytics, уровень не задан",P1,"2196 слов, терциль: длинные",nemotron,,pending,,
