original_document_id,transformation_id,transformation,meaning_preserving,origin_class,genre,prompt_condition,generation_channel,index_baseline,index_transformed,delta,abs_delta,unstable,features_common,features_format
human_science_cyberleninka_0032,4,перестановка абзацев,1,H,science,,,37.5604,33.9947,-3.5657,3.5657,0,14,4
human_science_cyberleninka_0053,4,перестановка абзацев,1,H,science,,,46.7995,51.5212,4.7217,4.7217,0,14,4
human_science_spbgu_0024,4,перестановка абзацев,1,H,science,,,51.9324,49.2063,-2.7261,2.7261,0,14,4
human_science_urfu_0028,4,перестановка абзацев,1,H,science,,,41.7874,33.0688,-8.7186,8.7186,1,14,4
human_seo_alaev_0004,4,перестановка абзацев,1,H,seo,,,37.8623,32.7381,-5.1242,5.1242,1,14,4
human_seo_convertmonster_0001,4,перестановка абзацев,1,H,seo,,,28.3816,26.3228,-2.0588,2.0588,0,14,4
human_seo_devaka_ru_0004,4,перестановка абзацев,1,H,seo,,,36.9565,37.3016,0.3451,0.3451,0,14,4
human_seo_drmax_0002,4,перестановка абзацев,1,H,seo,,,38.1039,44.9074,6.8035,6.8035,1,14,4
human_seo_drmax_su_0001,4,перестановка абзацев,1,H,seo,,,29.7101,30.9524,1.2423,1.2423,0,14,4
human_seo_labrika_0002,4,перестановка абзацев,1,H,seo,,,26.1473,46.0979,19.9506,19.9506,1,14,4
nemotron_b012_P1_r1,4,перестановка абзацев,1,A,seo,P1,nemotron,53.3213,44.1138,-9.2075,9.2075,1,14,4
nemotron_b015_P3_r2,4,перестановка абзацев,1,A,seo,P3,nemotron,61.7754,57.3413,-4.4341,4.4341,0,14,4
nemotron_b016_P1_r1,4,перестановка абзацев,1,A,analytics,P1,nemotron,52.5362,40.8730,-11.6632,11.6632,1,14,4
nemotron_b022_P3_r2,4,перестановка абзацев,1,A,analytics,P3,nemotron,38.8889,29.1005,-9.7884,9.7884,1,14,4
nemotron_b028_P1_r2,4,перестановка абзацев,1,A,analytics,P1,nemotron,65.2778,54.0344,-11.2434,11.2434,1,14,4
nemotron_b033_P2_r2,4,перестановка абзацев,1,A,commercial,P2,nemotron,60.1449,51.5873,-8.5576,8.5576,1,14,4
nemotron_b038_P1_r2,4,перестановка абзацев,1,A,commercial,P1,nemotron,55.1932,44.5767,-10.6165,10.6165,1,14,4
real_claude_b015_P2_r1,4,перестановка абзацев,1,A,seo,P2,real_claude,58.5145,42.6587,-15.8558,15.8558,1,14,4
real_claude_b018_P3_r2,4,перестановка абзацев,1,A,analytics,P3,real_claude,45.7126,43.7169,-1.9957,1.9957,0,14,4
real_claude_b024_P1_r2,4,перестановка абзацев,1,A,analytics,P1,real_claude,53.4420,35.5159,-17.9261,17.9261,1,14,4
real_claude_b025_P2_r1,4,перестановка абзацев,1,A,analytics,P2,real_claude,46.2560,28.4392,-17.8168,17.8168,1,14,4
real_claude_b034_P2_r2,4,перестановка абзацев,1,A,commercial,P2,real_claude,72.8865,48.0820,-24.8045,24.8045,1,14,4
real_claude_b040_P3_r2,4,перестановка абзацев,1,A,commercial,P3,real_claude,43.7198,32.0106,-11.7092,11.7092,1,14,4
real_claude_b042_P3_r2,4,перестановка абзацев,1,A,commercial,P3,real_claude,29.0459,26.2566,-2.7893,2.7893,0,14,4
real_claude_b045_P3_r1,4,перестановка абзацев,1,A,commercial,P3,real_claude,53.5024,53.8360,0.3336,0.3336,0,14,4
deepseek_pro_b002_P3_r1,5,исправление пунктуации,1,A,seo,P3,deepseek_pro,39.0097,42.3280,3.3183,3.3183,0,14,4
deepseek_pro_b004_P2_r1,5,исправление пунктуации,1,A,seo,P2,deepseek_pro,63.7681,45.7672,-18.0009,18.0009,1,14,4
deepseek_pro_b007_P3_r2,5,исправление пунктуации,1,A,seo,P3,deepseek_pro,47.5845,42.5926,-4.9919,4.9919,0,14,4
deepseek_pro_b009_P1_r1,5,исправление пунктуации,1,A,seo,P1,deepseek_pro,49.1546,45.3704,-3.7842,3.7842,0,14,4
deepseek_pro_b009_P2_r2,5,исправление пунктуации,1,A,seo,P2,deepseek_pro,53.0797,47.8175,-5.2622,5.2622,1,14,4
deepseek_pro_b021_P2_r2,5,исправление пунктуации,1,A,analytics,P2,deepseek_pro,59.8430,45.7011,-14.1419,14.1419,1,14,4
deepseek_pro_b037_P2_r2,5,исправление пунктуации,1,A,commercial,P2,deepseek_pro,61.2923,45.7011,-15.5912,15.5912,1,14,4
deepseek_pro_b038_P1_r2,5,исправление пунктуации,1,A,commercial,P1,deepseek_pro,43.0556,33.6640,-9.3916,9.3916,1,14,4
gpt_b004_P1_r1,5,исправление пунктуации,1,A,seo,P1,gpt,41.5459,35.1852,-6.3607,6.3607,1,14,4
gpt_b004_P3_r1,5,исправление пунктуации,1,A,seo,P3,gpt,35.0242,29.6296,-5.3946,5.3946,1,14,4
gpt_b021_P3_r2,5,исправление пунктуации,1,A,analytics,P3,gpt,52.4155,52.6455,0.2300,0.2300,0,14,4
gpt_b026_P1_r1,5,исправление пунктуации,1,A,analytics,P1,gpt,61.1715,61.4418,0.2703,0.2703,0,14,4
gpt_b028_P2_r1,5,исправление пунктуации,1,A,analytics,P2,gpt,43.7802,31.2831,-12.4971,12.4971,1,14,4
gpt_b031_P1_r1,5,исправление пунктуации,1,A,commercial,P1,gpt,29.7705,35.9788,6.2083,6.2083,1,14,4
gpt_b040_P2_r1,5,исправление пунктуации,1,A,commercial,P2,gpt,60.1449,50.0000,-10.1449,10.1449,1,14,4
human_hard_rusltc_0001,5,исправление пунктуации,1,H,translation,,,45.2899,50.3968,5.1069,5.1069,1,14,4
human_hard_rusltc_0002,5,исправление пунктуации,1,H,translation,,,46.7391,45.6349,-1.1042,1.1042,0,14,4
human_hard_rusltc_0003,5,исправление пунктуации,1,H,translation,,,51.2681,49.8016,-1.4665,1.4665,0,14,4
human_hard_rusltc_0055,5,исправление пунктуации,1,H,translation,,,40.5797,38.0952,-2.4845,2.4845,0,14,4
human_hard_rusltc_0068,5,исправление пунктуации,1,H,translation,,,17.3913,23.0159,5.6246,5.6246,1,14,4
human_hard_rusltc_0073,5,исправление пунктуации,1,H,translation,,,54.8309,58.2011,3.3702,3.3702,0,14,4
human_news_buriy_2014_0027,5,исправление пунктуации,1,H,news,,,29.3478,22.6190,-6.7288,6.7288,1,14,4
human_news_buriy_2014_0034,5,исправление пунктуации,1,H,news,,,47.2222,50.9259,3.7037,3.7037,0,14,4
human_news_gazeta_0031,5,исправление пунктуации,1,H,news,,,36.3527,36.9048,0.5521,0.5521,0,14,4
human_news_gazeta_0040,5,исправление пунктуации,1,H,news,,,29.1063,29.2328,0.1265,0.1265,0,14,4
human_news_lenta_0001,5,исправление пунктуации,1,H,news,,,49.2150,48.3466,-0.8684,0.8684,0,14,4
human_news_lenta_0016,5,исправление пунктуации,1,H,news,,,61.2319,42.4603,-18.7716,18.7716,1,14,4
human_prose_taiga_arzamas_0050,5,исправление пунктуации,1,H,prose,,,26.2077,26.3228,0.1151,0.1151,0,14,4
human_prose_taiga_arzamas_0051,5,исправление пунктуации,1,H,prose,,,39.0097,43.5185,4.5088,4.5088,0,14,4
human_prose_taiga_magazines_0048,5,исправление пунктуации,1,H,prose,,,55.1329,58.2672,3.1343,3.1343,0,14,4
human_prose_taiga_magazines_0053,5,исправление пунктуации,1,H,prose,,,17.2101,18.8492,1.6391,1.6391,0,14,4
human_prose_taiga_proza_0034,5,исправление пунктуации,1,H,prose,,,34.0580,30.1587,-3.8993,3.8993,0,14,4
human_prose_taiga_proza_0056,5,исправление пунктуации,1,H,prose,,,37.0169,29.4312,-7.5857,7.5857,1,14,4
human_science_cyberleninka_0026,5,исправление пунктуации,1,H,science,,,35.0845,39.6164,4.5319,4.5319,0,14,4
human_science_cyberleninka_0031,5,исправление пунктуации,1,H,science,,,41.1836,44.5767,3.3931,3.3931,0,14,4
human_science_cyberleninka_0032,5,исправление пунктуации,1,H,science,,,37.5604,31.5476,-6.0128,6.0128,1,14,4
human_science_cyberleninka_0053,5,исправление пунктуации,1,H,science,,,46.7995,49.6693,2.8698,2.8698,0,14,4
human_science_spbgu_0024,5,исправление пунктуации,1,H,science,,,51.9324,49.2063,-2.7261,2.7261,0,14,4
human_science_urfu_0028,5,исправление пунктуации,1,H,science,,,41.7874,33.0688,-8.7186,8.7186,1,14,4
human_seo_alaev_0004,5,исправление пунктуации,1,H,seo,,,37.8623,32.7381,-5.1242,5.1242,1,14,4
human_seo_convertmonster_0001,5,исправление пунктуации,1,H,seo,,,28.3816,20.7672,-7.6144,7.6144,1,14,4
human_seo_devaka_ru_0004,5,исправление пунктуации,1,H,seo,,,36.9565,30.6878,-6.2687,6.2687,1,14,4
human_seo_drmax_0002,5,исправление пунктуации,1,H,seo,,,38.1039,44.3122,6.2083,6.2083,1,14,4
human_seo_drmax_su_0001,5,исправление пунктуации,1,H,seo,,,29.7101,26.5873,-3.1228,3.1228,0,14,4
human_seo_labrika_0002,5,исправление пунктуации,1,H,seo,,,26.1473,36.5741,10.4268,10.4268,1,14,4
nemotron_b012_P1_r1,5,исправление пунктуации,1,A,seo,P1,nemotron,53.3213,42.2619,-11.0594,11.0594,1,14,4
nemotron_b015_P3_r2,5,исправление пунктуации,1,A,seo,P3,nemotron,61.7754,45.8333,-15.9421,15.9421,1,14,4
nemotron_b016_P1_r1,5,исправление пунктуации,1,A,analytics,P1,nemotron,52.5362,40.8730,-11.6632,11.6632,1,14,4
nemotron_b022_P3_r2,5,исправление пунктуации,1,A,analytics,P3,nemotron,38.8889,29.1005,-9.7884,9.7884,1,14,4
nemotron_b028_P1_r2,5,исправление пунктуации,1,A,analytics,P1,nemotron,65.2778,54.0344,-11.2434,11.2434,1,14,4
nemotron_b033_P2_r2,5,исправление пунктуации,1,A,commercial,P2,nemotron,60.1449,51.5873,-8.5576,8.5576,1,14,4
nemotron_b038_P1_r2,5,исправление пунктуации,1,A,commercial,P1,nemotron,55.1932,44.5767,-10.6165,10.6165,1,14,4
real_claude_b015_P2_r1,5,исправление пунктуации,1,A,seo,P2,real_claude,58.5145,43.4524,-15.0621,15.0621,1,14,4
real_claude_b018_P3_r2,5,исправление пунктуации,1,A,analytics,P3,real_claude,45.7126,43.7169,-1.9957,1.9957,0,14,4
real_claude_b024_P1_r2,5,исправление пунктуации,1,A,analytics,P1,real_claude,53.4420,40.2778,-13.1642,13.1642,1,14,4
real_claude_b025_P2_r1,5,исправление пунктуации,1,A,analytics,P2,real_claude,46.2560,28.4392,-17.8168,17.8168,1,14,4
real_claude_b034_P2_r2,5,исправление пунктуации,1,A,commercial,P2,real_claude,72.8865,52.8439,-20.0426,20.0426,1,14,4
real_claude_b040_P3_r2,5,исправление пунктуации,1,A,commercial,P3,real_claude,43.7198,36.7725,-6.9473,6.9473,1,14,4
real_claude_b042_P3_r2,5,исправление пунктуации,1,A,commercial,P3,real_claude,29.0459,26.2566,-2.7893,2.7893,0,14,4
real_claude_b045_P3_r1,5,исправление пунктуации,1,A,commercial,P3,real_claude,53.5024,49.0741,-4.4283,4.4283,0,14,4
deepseek_pro_b002_P3_r1,10,сокращение текста,0,A,seo,P3,deepseek_pro,39.0097,35.5820,-3.4277,3.4277,0,14,4
deepseek_pro_b004_P2_r1,10,сокращение текста,0,A,seo,P2,deepseek_pro,63.7681,48.2804,-15.4877,15.4877,1,14,4
deepseek_pro_b007_P3_r2,10,сокращение текста,0,A,seo,P3,deepseek_pro,47.5845,35.8466,-11.7379,11.7379,1,14,4
deepseek_pro_b009_P1_r1,10,сокращение текста,0,A,seo,P1,deepseek_pro,49.1546,35.1190,-14.0356,14.0356,1,14,4
deepseek_pro_b009_P2_r2,10,сокращение текста,0,A,seo,P2,deepseek_pro,53.0797,47.1561,-5.9236,5.9236,1,14,4
deepseek_pro_b021_P2_r2,10,сокращение текста,0,A,analytics,P2,deepseek_pro,59.8430,40.1455,-19.6975,19.6975,1,14,4
deepseek_pro_b037_P2_r2,10,сокращение текста,0,A,commercial,P2,deepseek_pro,61.2923,57.7381,-3.5542,3.5542,0,14,4
deepseek_pro_b038_P1_r2,10,сокращение текста,0,A,commercial,P1,deepseek_pro,43.0556,31.2831,-11.7725,11.7725,1,14,4
gpt_b004_P1_r1,10,сокращение текста,0,A,seo,P1,gpt,41.5459,27.2487,-14.2972,14.2972,1,14,4
gpt_b004_P3_r1,10,сокращение текста,0,A,seo,P3,gpt,35.0242,31.4815,-3.5427,3.5427,0,14,4
gpt_b021_P3_r2,10,сокращение текста,0,A,analytics,P3,gpt,52.4155,46.5608,-5.8547,5.8547,1,14,4
gpt_b026_P1_r1,10,сокращение текста,0,A,analytics,P1,gpt,61.1715,55.4233,-5.7482,5.7482,1,14,4
gpt_b028_P2_r1,10,сокращение текста,0,A,analytics,P2,gpt,43.7802,36.0450,-7.7352,7.7352,1,14,4
gpt_b031_P1_r1,10,сокращение текста,0,A,commercial,P1,gpt,29.7705,27.9101,-1.8604,1.8604,0,14,4
gpt_b040_P2_r1,10,сокращение текста,0,A,commercial,P2,gpt,60.1449,45.1058,-15.0391,15.0391,1,14,4
human_hard_rusltc_0001,10,сокращение текста,0,H,translation,,,45.2899,45.0397,-0.2502,0.2502,0,14,4
human_hard_rusltc_0002,10,сокращение текста,0,H,translation,,,46.7391,38.4921,-8.2470,8.2470,1,14,4
human_hard_rusltc_0003,10,сокращение текста,0,H,translation,,,51.2681,45.0397,-6.2284,6.2284,1,14,4
human_hard_rusltc_0055,10,сокращение текста,0,H,translation,,,40.5797,25.3968,-15.1829,15.1829,1,14,4
human_hard_rusltc_0068,10,сокращение текста,0,H,translation,,,17.3913,18.7831,1.3918,1.3918,0,14,4
human_hard_rusltc_0073,10,сокращение текста,0,H,translation,,,54.8309,42.5926,-12.2383,12.2383,1,14,4
human_news_buriy_2014_0027,10,сокращение текста,0,H,news,,,29.3478,23.2143,-6.1335,6.1335,1,14,4
human_news_buriy_2014_0034,10,сокращение текста,0,H,news,,,47.2222,29.3651,-17.8571,17.8571,1,14,4
human_news_gazeta_0031,10,сокращение текста,0,H,news,,,36.3527,23.1481,-13.2046,13.2046,1,14,4
human_news_gazeta_0040,10,сокращение текста,0,H,news,,,29.1063,17.7910,-11.3153,11.3153,1,14,4
human_news_lenta_0001,10,сокращение текста,0,H,news,,,49.2150,34.4577,-14.7573,14.7573,1,14,4
human_news_lenta_0016,10,сокращение текста,0,H,news,,,61.2319,59.1270,-2.1049,2.1049,0,14,4
human_prose_taiga_arzamas_0050,10,сокращение текста,0,H,prose,,,26.2077,13.6905,-12.5172,12.5172,1,14,4
human_prose_taiga_arzamas_0051,10,сокращение текста,0,H,prose,,,39.0097,35.5820,-3.4277,3.4277,0,14,4
human_prose_taiga_magazines_0048,10,сокращение текста,0,H,prose,,,55.1329,47.6852,-7.4477,7.4477,1,14,4
human_prose_taiga_magazines_0053,10,сокращение текста,0,H,prose,,,17.2101,18.8492,1.6391,1.6391,0,14,4
human_prose_taiga_proza_0034,10,сокращение текста,0,H,prose,,,34.0580,23.5450,-10.5130,10.5130,1,14,4
human_prose_taiga_proza_0056,10,сокращение текста,0,H,prose,,,37.0169,21.7593,-15.2576,15.2576,1,14,4
human_science_cyberleninka_0026,10,сокращение текста,0,H,science,,,35.0845,39.8148,4.7303,4.7303,0,14,4
human_science_cyberleninka_0031,10,сокращение текста,0,H,science,,,41.1836,30.6878,-10.4958,10.4958,1,14,4
human_science_cyberleninka_0032,10,сокращение текста,0,H,science,,,37.5604,33.9947,-3.5657,3.5657,0,14,4
human_science_cyberleninka_0053,10,сокращение текста,0,H,science,,,46.7995,41.2037,-5.5958,5.5958,1,14,4
human_science_spbgu_0024,10,сокращение текста,0,H,science,,,51.9324,45.5688,-6.3636,6.3636,1,14,4
human_science_urfu_0028,10,сокращение текста,0,H,science,,,41.7874,28.7698,-13.0176,13.0176,1,14,4
human_seo_alaev_0004,10,сокращение текста,0,H,seo,,,37.8623,38.9550,1.0927,1.0927,0,14,4
human_seo_convertmonster_0001,10,сокращение текста,0,H,seo,,,28.3816,23.1481,-5.2335,5.2335,1,14,4
human_seo_devaka_ru_0004,10,сокращение текста,0,H,seo,,,36.9565,40.2116,3.2551,3.2551,0,14,4
human_seo_drmax_0002,10,сокращение текста,0,H,seo,,,38.1039,32.2751,-5.8288,5.8288,1,14,4
human_seo_drmax_su_0001,10,сокращение текста,0,H,seo,,,29.7101,24.8677,-4.8424,4.8424,0,14,4
human_seo_labrika_0002,10,сокращение текста,0,H,seo,,,26.1473,32.4074,6.2601,6.2601,1,14,4
nemotron_b012_P1_r1,10,сокращение текста,0,A,seo,P1,nemotron,53.3213,56.9444,3.6231,3.6231,0,14,4
nemotron_b015_P3_r2,10,сокращение текста,0,A,seo,P3,nemotron,61.7754,45.8333,-15.9421,15.9421,1,14,4
nemotron_b016_P1_r1,10,сокращение текста,0,A,analytics,P1,nemotron,52.5362,51.1905,-1.3457,1.3457,0,14,4
nemotron_b022_P3_r2,10,сокращение текста,0,A,analytics,P3,nemotron,38.8889,31.4815,-7.4074,7.4074,1,14,4
nemotron_b028_P1_r2,10,сокращение текста,0,A,analytics,P1,nemotron,65.2778,59.5899,-5.6879,5.6879,1,14,4
nemotron_b033_P2_r2,10,сокращение текста,0,A,commercial,P2,nemotron,60.1449,50.3968,-9.7481,9.7481,1,14,4
nemotron_b038_P1_r2,10,сокращение текста,0,A,commercial,P1,nemotron,55.1932,52.5132,-2.6800,2.6800,0,14,4
real_claude_b015_P2_r1,10,сокращение текста,0,A,seo,P2,real_claude,58.5145,49.2725,-9.2420,9.2420,1,14,4
real_claude_b018_P3_r2,10,сокращение текста,0,A,analytics,P3,real_claude,45.7126,43.4524,-2.2602,2.2602,0,14,4
real_claude_b024_P1_r2,10,сокращение текста,0,A,analytics,P1,real_claude,53.4420,42.1296,-11.3124,11.3124,1,14,4
real_claude_b025_P2_r1,10,сокращение текста,0,A,analytics,P2,real_claude,46.2560,28.4392,-17.8168,17.8168,1,14,4
real_claude_b034_P2_r2,10,сокращение текста,0,A,commercial,P2,real_claude,72.8865,45.0397,-27.8468,27.8468,1,14,4
real_claude_b040_P3_r2,10,сокращение текста,0,A,commercial,P3,real_claude,43.7198,25.7937,-17.9261,17.9261,1,14,4
real_claude_b042_P3_r2,10,сокращение текста,0,A,commercial,P3,real_claude,29.0459,27.8439,-1.2020,1.2020,0,14,4
real_claude_b045_P3_r1,10,сокращение текста,0,A,commercial,P3,real_claude,53.5024,36.3757,-17.1267,17.1267,1,14,4
deepseek_pro_b002_P3_r1,11,расширение текста,0,A,seo,P3,deepseek_pro,39.0097,42.7249,3.7152,3.7152,0,14,4
deepseek_pro_b004_P2_r1,11,расширение текста,0,A,seo,P2,deepseek_pro,63.7681,40.0794,-23.6887,23.6887,1,14,4
deepseek_pro_b007_P3_r2,11,расширение текста,0,A,seo,P3,deepseek_pro,47.5845,40.6085,-6.9760,6.9760,1,14,4
deepseek_pro_b009_P1_r1,11,расширение текста,0,A,seo,P1,deepseek_pro,49.1546,43.0556,-6.0990,6.0990,1,14,4
deepseek_pro_b009_P2_r2,11,расширение текста,0,A,seo,P2,deepseek_pro,53.0797,45.5688,-7.5109,7.5109,1,14,4
deepseek_pro_b021_P2_r2,11,расширение текста,0,A,analytics,P2,deepseek_pro,59.8430,29.4312,-30.4118,30.4118,1,14,4
deepseek_pro_b037_P2_r2,11,расширение текста,0,A,commercial,P2,deepseek_pro,61.2923,49.5370,-11.7553,11.7553,1,14,4
deepseek_pro_b038_P1_r2,11,расширение текста,0,A,commercial,P1,deepseek_pro,43.0556,43.9815,0.9259,0.9259,0,14,4
gpt_b004_P1_r1,11,расширение текста,0,A,seo,P1,gpt,41.5459,43.1217,1.5758,1.5758,0,14,4
gpt_b004_P3_r1,11,расширение текста,0,A,seo,P3,gpt,35.0242,37.5661,2.5419,2.5419,0,14,4
gpt_b021_P3_r2,11,расширение текста,0,A,analytics,P3,gpt,52.4155,37.5661,-14.8494,14.8494,1,14,4
gpt_b026_P1_r1,11,расширение текста,0,A,analytics,P1,gpt,61.1715,37.6323,-23.5392,23.5392,1,14,4
gpt_b028_P2_r1,11,расширение текста,0,A,analytics,P2,gpt,43.7802,37.3677,-6.4125,6.4125,1,14,4
gpt_b031_P1_r1,11,расширение текста,0,A,commercial,P1,gpt,29.7705,35.9788,6.2083,6.2083,1,14,4
gpt_b040_P2_r1,11,расширение текста,0,A,commercial,P2,gpt,60.1449,36.7725,-23.3724,23.3724,1,14,4
human_hard_rusltc_0001,11,расширение текста,0,H,translation,,,45.2899,42.1958,-3.0941,3.0941,0,14,4
human_hard_rusltc_0002,11,расширение текста,0,H,translation,,,46.7391,41.2037,-5.5354,5.5354,1,14,4
human_hard_rusltc_0003,11,расширение текста,0,H,translation,,,51.2681,38.4259,-12.8422,12.8422,1,14,4
human_hard_rusltc_0055,11,расширение текста,0,H,translation,,,40.5797,46.0317,5.4520,5.4520,1,14,4
human_hard_rusltc_0068,11,расширение текста,0,H,translation,,,17.3913,35.7143,18.3230,18.3230,1,14,4
human_hard_rusltc_0073,11,расширение текста,0,H,translation,,,54.8309,43.9153,-10.9156,10.9156,1,14,4
human_news_buriy_2014_0027,11,расширение текста,0,H,news,,,29.3478,27.3810,-1.9668,1.9668,0,14,4
human_news_buriy_2014_0034,11,расширение текста,0,H,news,,,47.2222,36.6402,-10.5820,10.5820,1,14,4
human_news_gazeta_0031,11,расширение текста,0,H,news,,,36.3527,44.8413,8.4886,8.4886,1,14,4
human_news_gazeta_0040,11,расширение текста,0,H,news,,,29.1063,39.6825,10.5762,10.5762,1,14,4
human_news_lenta_0001,11,расширение текста,0,H,news,,,49.2150,37.2354,-11.9796,11.9796,1,14,4
human_news_lenta_0016,11,расширение текста,0,H,news,,,61.2319,44.8413,-16.3906,16.3906,1,14,4
human_prose_taiga_arzamas_0050,11,расширение текста,0,H,prose,,,26.2077,37.8307,11.6230,11.6230,1,14,4
human_prose_taiga_arzamas_0051,11,расширение текста,0,H,prose,,,39.0097,41.9312,2.9215,2.9215,0,14,4
human_prose_taiga_magazines_0048,11,расширение текста,0,H,prose,,,55.1329,44.7751,-10.3578,10.3578,1,14,4
human_prose_taiga_magazines_0053,11,расширение текста,0,H,prose,,,17.2101,17.2619,0.0518,0.0518,0,14,4
human_prose_taiga_proza_0034,11,расширение текста,0,H,prose,,,34.0580,28.3069,-5.7511,5.7511,1,14,4
human_prose_taiga_proza_0056,11,расширение текста,0,H,prose,,,37.0169,32.6058,-4.4111,4.4111,0,14,4
human_science_cyberleninka_0026,11,расширение текста,0,H,science,,,35.0845,36.8386,1.7541,1.7541,0,14,4
human_science_cyberleninka_0031,11,расширение текста,0,H,science,,,41.1836,35.0529,-6.1307,6.1307,1,14,4
human_science_cyberleninka_0032,11,расширение текста,0,H,science,,,37.5604,31.0185,-6.5419,6.5419,1,14,4
human_science_cyberleninka_0053,11,расширение текста,0,H,science,,,46.7995,49.6693,2.8698,2.8698,0,14,4
human_science_spbgu_0024,11,расширение текста,0,H,science,,,51.9324,42.1958,-9.7366,9.7366,1,14,4
human_science_urfu_0028,11,расширение текста,0,H,science,,,41.7874,31.8783,-9.9091,9.9091,1,14,4
human_seo_alaev_0004,11,расширение текста,0,H,seo,,,37.8623,36.3095,-1.5528,1.5528,0,14,4
human_seo_convertmonster_0001,11,расширение текста,0,H,seo,,,28.3816,40.0794,11.6978,11.6978,1,14,4
human_seo_devaka_ru_0004,11,расширение текста,0,H,seo,,,36.9565,37.5661,0.6096,0.6096,0,14,4
human_seo_drmax_0002,11,расширение текста,0,H,seo,,,38.1039,43.7169,5.6130,5.6130,1,14,4
human_seo_drmax_su_0001,11,расширение текста,0,H,seo,,,29.7101,37.5661,7.8560,7.8560,1,14,4
human_seo_labrika_0002,11,расширение текста,0,H,seo,,,26.1473,35.7804,9.6331,9.6331,1,14,4
nemotron_b012_P1_r1,11,расширение текста,0,A,seo,P1,nemotron,53.3213,47.6852,-5.6361,5.6361,1,14,4
nemotron_b015_P3_r2,11,расширение текста,0,A,seo,P3,nemotron,61.7754,46.6270,-15.1484,15.1484,1,14,4
nemotron_b016_P1_r1,11,расширение текста,0,A,analytics,P1,nemotron,52.5362,54.3651,1.8289,1.8289,0,14,4
nemotron_b022_P3_r2,11,расширение текста,0,A,analytics,P3,nemotron,38.8889,44.1799,5.2910,5.2910,1,14,4
nemotron_b028_P1_r2,11,расширение текста,0,A,analytics,P1,nemotron,65.2778,47.6190,-17.6588,17.6588,1,14,4
nemotron_b033_P2_r2,11,расширение текста,0,A,commercial,P2,nemotron,60.1449,31.3492,-28.7957,28.7957,1,14,4
nemotron_b038_P1_r2,11,расширение текста,0,A,commercial,P1,nemotron,55.1932,52.5132,-2.6800,2.6800,0,14,4
real_claude_b015_P2_r1,11,расширение текста,0,A,seo,P2,real_claude,58.5145,43.5185,-14.9960,14.9960,1,14,4
real_claude_b018_P3_r2,11,расширение текста,0,A,analytics,P3,real_claude,45.7126,46.0979,0.3853,0.3853,0,14,4
real_claude_b024_P1_r2,11,расширение текста,0,A,analytics,P1,real_claude,53.4420,37.4339,-16.0081,16.0081,1,14,4
real_claude_b025_P2_r1,11,расширение текста,0,A,analytics,P2,real_claude,46.2560,37.9630,-8.2930,8.2930,1,14,4
real_claude_b034_P2_r2,11,расширение текста,0,A,commercial,P2,real_claude,72.8865,53.1746,-19.7119,19.7119,1,14,4
real_claude_b040_P3_r2,11,расширение текста,0,A,commercial,P3,real_claude,43.7198,38.7566,-4.9632,4.9632,0,14,4
real_claude_b042_P3_r2,11,расширение текста,0,A,commercial,P3,real_claude,29.0459,38.3598,9.3139,9.3139,1,14,4
real_claude_b045_P3_r1,11,расширение текста,0,A,commercial,P3,real_claude,53.5024,49.0741,-4.4283,4.4283,0,14,4
deepseek_pro_b002_P3_r1,13,добавление орфографических ошибок,0,A,seo,P3,deepseek_pro,39.0097,39.5503,0.5406,0.5406,0,14,4
deepseek_pro_b004_P2_r1,13,добавление орфографических ошибок,0,A,seo,P2,deepseek_pro,63.7681,47.6190,-16.1491,16.1491,1,14,4
deepseek_pro_b007_P3_r2,13,добавление орфографических ошибок,0,A,seo,P3,deepseek_pro,47.5845,37.8307,-9.7538,9.7538,1,14,4
deepseek_pro_b009_P1_r1,13,добавление орфографических ошибок,0,A,seo,P1,deepseek_pro,49.1546,44.3122,-4.8424,4.8424,0,14,4
deepseek_pro_b009_P2_r2,13,добавление орфографических ошибок,0,A,seo,P2,deepseek_pro,53.0797,47.2222,-5.8575,5.8575,1,14,4
deepseek_pro_b021_P2_r2,13,добавление орфографических ошибок,0,A,analytics,P2,deepseek_pro,59.8430,45.7011,-14.1419,14.1419,1,14,4
deepseek_pro_b037_P2_r2,13,добавление орфографических ошибок,0,A,commercial,P2,deepseek_pro,61.2923,45.7011,-15.5912,15.5912,1,14,4
deepseek_pro_b038_P1_r2,13,добавление орфографических ошибок,0,A,commercial,P1,deepseek_pro,43.0556,36.8386,-6.2170,6.2170,1,14,4
gpt_b004_P1_r1,13,добавление орфографических ошибок,0,A,seo,P1,gpt,41.5459,33.3333,-8.2126,8.2126,1,14,4
gpt_b004_P3_r1,13,добавление орфографических ошибок,0,A,seo,P3,gpt,35.0242,29.6296,-5.3946,5.3946,1,14,4
gpt_b021_P3_r2,13,добавление орфографических ошибок,0,A,analytics,P3,gpt,52.4155,62.1693,9.7538,9.7538,1,14,4
gpt_b026_P1_r1,13,добавление орфографических ошибок,0,A,analytics,P1,gpt,61.1715,61.4418,0.2703,0.2703,0,14,4
gpt_b028_P2_r1,13,добавление орфографических ошибок,0,A,analytics,P2,gpt,43.7802,31.2831,-12.4971,12.4971,1,14,4
gpt_b031_P1_r1,13,добавление орфографических ошибок,0,A,commercial,P1,gpt,29.7705,41.3360,11.5655,11.5655,1,14,4
